,Country Pairing,Tension Score
189,Mongolia-Thailand,11.25
190,Mongolia-Turkmenistan,17.57
191,Mongolia-Iraq,0.365
192,Mongolia-Japan,0.435
193,Mongolia-Vietnam,4.11
194,Mongolia-Oman,8.42
195,Mongolia-Kyrgyzstan,4.69
196,Mongolia-Syria,96.855
197,Mongolia-Bangladesh,0.505
198,Mongolia-Nepal,0.705
199,Mongolia-N. Korea,99.04
201,Mongolia-Azerbaijan,0.725
202,Mongolia-United Arab Emirates,0.745
203,Mongolia-Sri Lanka,0.43
204,Mongolia-Israel,0.66
205,Mongolia-Uzbekistan,1.405
206,Mongolia-Laos,0.635
207,Mongolia-Cambodia,0.355
208,Mongolia-Tajikistan,2.38
209,Mongolia-Jordan,1.195
210,Mongolia-Georgia,3.63
211,Mongolia-Bhutan,0.765
212,Mongolia-Armenia,0.585
213,Mongolia-Kuwait,2.885
214,Mongolia-Qatar,1.085
215,Mongolia-Lebanon,5.83
216,Mongolia-Singapore,0.34
217,Mongolia-Bahrain,1.385
218,Mongolia-Maldives,1.295
219,Pakistan-Myanmar,90.94
220,Pakistan-Afghanistan,98.02
221,Pakistan-Yemen,98.98
222,Pakistan-Thailand,15.96
223,Pakistan-Turkmenistan,0.615
224,Pakistan-Iraq,3.995
225,Pakistan-Japan,74.2
226,Pakistan-Vietnam,1.455
227,Pakistan-Oman,0.46
228,Pakistan-Kyrgyzstan,60.115
229,Pakistan-Syria,1.6
230,Pakistan-Bangladesh,94.55
231,Pakistan-Nepal,21.355
232,Pakistan-N. Korea,3.615
233,Pakistan-S. Korea,1.31
234,Pakistan-Azerbaijan,1.18
235,Pakistan-United Arab Emirates,1.03
236,Pakistan-Sri Lanka,47.87
237,Pakistan-Israel,88.98
238,Pakistan-Uzbekistan,3.42
239,Pakistan-Laos,0.635
240,Pakistan-Cambodia,4.595
241,Pakistan-Tajikistan,85.015
242,Pakistan-Jordan,7.675
243,Pakistan-Georgia,1.245
244,Pakistan-Bhutan,89.375
245,Pakistan-Armenia,95.21
246,Pakistan-Kuwait,1.61
247,Pakistan-Qatar,3.255
248,Pakistan-Lebanon,94.775
249,Pakistan-Singapore,0.695
250,Pakistan-Bahrain,0.74
251,Pakistan-Maldives,89.06
252,Myanmar-Afghanistan,33.545
254,Myanmar-Thailand,78.595
255,Myanmar-Turkmenistan,36.915
256,Myanmar-Iraq,89.815
257,Myanmar-Japan,7.79
258,Myanmar-Vietnam,1.765
259,Myanmar-Oman,3.145
260,Myanmar-Kyrgyzstan,1.295
261,Myanmar-Syria,93.895
262,Myanmar-Bangladesh,90.43
263,Myanmar-Nepal,2.255
264,Myanmar-N. Korea,96.5
265,Myanmar-S. Korea,3.93
266,Myanmar-Azerbaijan,1.295
267,Myanmar-United Arab Emirates,1.715
268,Myanmar-Sri Lanka,72.02
269,Myanmar-Israel,91.055
270,Myanmar-Uzbekistan,9.765
271,Myanmar-Laos,14.75
272,Myanmar-Cambodia,28.33
273,Myanmar-Tajikistan,7.79
274,Myanmar-Jordan,8.42
275,Myanmar-Georgia,35.265
276,Myanmar-Bhutan,84.25
277,Myanmar-Armenia,89.07
278,Myanmar-Kuwait,6.465
279,Myanmar-Qatar,11.725
280,Myanmar-Lebanon,61.87
281,Myanmar-Singapore,44.13
282,Myanmar-Bahrain,3.645
283,Myanmar-Maldives,98.45
284,Afghanistan-Yemen,95.21
285,Afghanistan-Thailand,2.535
286,Afghanistan-Turkmenistan,92.84
287,Afghanistan-Iraq,91.8
288,Afghanistan-Japan,2.08
289,Afghanistan-Vietnam,97.21
290,Afghanistan-Oman,0.535
291,Afghanistan-Kyrgyzstan,1.76
292,Afghanistan-Syria,98.24
293,Afghanistan-Bangladesh,11.58
294,Afghanistan-Nepal,97.29
295,Afghanistan-N. Korea,97.99
296,Afghanistan-S. Korea,4.155
297,Afghanistan-Azerbaijan,11.87
298,Afghanistan-United Arab Emirates,72.02
299,Afghanistan-Sri Lanka,27.06
300,Afghanistan-Israel,98.19
301,Afghanistan-Uzbekistan,86.345
302,Afghanistan-Laos,94.17
303,Afghanistan-Cambodia,51.29
304,Afghanistan-Tajikistan,3.25
305,Afghanistan-Jordan,4.32
306,Afghanistan-Georgia,0.795
307,Afghanistan-Bhutan,9.96
308,Afghanistan-Armenia,96.28
309,Afghanistan-Kuwait,56.59
310,Afghanistan-Qatar,4.5
311,Afghanistan-Lebanon,99.115
312,Afghanistan-Singapore,3.155
313,Afghanistan-Bahrain,7.165
